file,clip_id,episode_id,ok,bytes,n_raw,n_decoded,n_bad_frames,n_const_frames_sampled,T_out,nlab,hours,image_size,n_stack,quality,mean_v,max_v,min_v,stop_frac,dist_m,net_head,cum_head,junction,stopped,city,hw,lk,tl,tr,ac,bs,lk2,tl2,tr2,ac2,bs2,has_stop,has_brake,has_turn,n_nan_poses,n_nan_actions
7f23a7c9-9a6b-477d-88d1-0d73367c285a.v2ep.pt,7f23a7c9-9a6b-477d-88d1-0d73367c285a,929444403,True,2629711,201,201,0,0,199,179,0.005527777777777777,256,3,90,6.837026119232178,8.4402494430542,5.103517532348633,0.0,136.05682373046875,27.470870577629544,130.30443653253565,1,0.0,1.0,0.0,52,49,62,13,3,91,10,56,15,7,0,1,1,0,0
7f23bb62-e463-494e-9a7d-c1ce2d128481.v2ep.pt,7f23bb62-e463-494e-9a7d-c1ce2d128481,929444403,True,2755535,201,201,0,0,199,179,0.005527777777777777,256,3,90,13.289344787597656,14.3976469039917,11.384114265441895,0.0,264.457958984375,7.519532842185458,78.81532868196133,0,0.0,0.1658291518688202,0.8341708779335022,62,47,42,15,13,132,0,0,30,17,0,1,1,0,0
7f2d0dd1-dea8-45f3-99bc-e2340da7b9d8.v2ep.pt,7f2d0dd1-dea8-45f3-99bc-e2340da7b9d8,929444452,True,2105039,201,201,0,0,199,179,0.005527777777777777,256,3,90,9.492575645446777,13.329380989074707,7.149151802062988,0.0,188.90225830078126,0.8261113801130422,164.55019906865752,1,0.0,0.8693467378616333,0.1306532621383667,36,41,66,29,7,46,39,45,34,15,0,1,1,0,0
7f34a3c1-9560-486f-9ba0-d630a537ac30.v2ep.pt,7f34a3c1-9560-486f-9ba0-d630a537ac30,929444660,True,2589647,201,201,0,0,199,179,0.005527777777777777,256,3,90,6.753812313079834,13.2845458984375,2.7676360607147217,0.0,134.40086669921877,5.226720300082217,155.425448828114,1,0.0,0.9145728349685669,0.08542713522911072,5,63,94,3,14,19,60,47,5,48,0,1,1,0,0
7f3d8433-9a44-426b-8d94-a72f58f7a3fd.v2ep.pt,7f3d8433-9a44-426b-8d94-a72f58f7a3fd,929444708,True,1950543,201,201,0,0,199,179,0.005527777777777777,256,3,90,2.2326958179473877,5.39100456237793,0.0,0.4070351719856262,44.43064575195313,112.93703449218826,112.94858434207475,1,0.44723618030548096,0.552763819694519,0.0,83,0,88,2,6,21,0,155,3,0,1,1,1,0,0
7f3eb658-e99b-428e-8b3c-de70d709d556.v2ep.pt,7f3eb658-e99b-428e-8b3c-de70d709d556,929444709,True,2290511,201,201,0,0,199,179,0.005527777777777777,256,3,90,12.85334300994873,14.543816566467285,11.315163612365723,0.0,255.78151855468752,84.46196901221593,241.97914961326802,1,0.0,0.23115578293800354,0.7688442468643188,17,114,48,0,0,40,101,30,8,0,0,0,1,0,0
7f4bccae-b956-4bb7-a606-495ecdb45b9e.v2ep.pt,7f4bccae-b956-4bb7-a606-495ecdb45b9e,929444962,True,2401615,201,201,0,0,199,179,0.005527777777777777,256,3,90,10.705370903015137,13.949851036071777,6.264729022979736,0.0,213.03688964843752,44.345221752361226,46.90781310630163,0,0.0,0.733668327331543,0.26633167266845703,42,47,0,60,30,76,0,0,60,43,0,1,1,0,0
7f6a453c-32af-4fe4-951d-3277325f2614.v2ep.pt,7f6a453c-32af-4fe4-951d-3277325f2614,929445473,True,2720527,201,201,0,0,199,179,0.005527777777777777,256,3,90,7.453100681304932,9.864591598510742,6.128306865692139,0.0,148.31669921875002,41.08571887664774,193.38407487629814,1,0.0,1.0,0.0,51,56,49,0,23,66,54,36,0,23,0,1,1,0,0
7f706d26-9058-4ace-aef3-975a8bc4c569.v2ep.pt,7f706d26-9058-4ace-aef3-975a8bc4c569,929445680,True,2997263,201,201,0,0,199,179,0.005527777777777777,256,3,90,4.538788795471191,7.2075653076171875,0.4113858938217163,0.055276382714509964,90.3218994140625,35.13819505307574,163.19855927342536,1,0.10552763938903809,0.8944723606109619,0.0,22,59,25,41,32,25,57,24,41,32,1,1,1,0,0
7f838836-2eb5-48a7-9383-a7daa8283e40.v2ep.pt,7f838836-2eb5-48a7-9383-a7daa8283e40,929445939,True,2212367,201,201,0,0,199,179,0.005527777777777777,256,3,90,11.843870162963867,17.152433395385742,2.8781776428222656,0.0,235.69301757812502,74.46156119932012,120.15499399195015,1,0.0,0.4170854389667511,0.5829145908355713,26,47,18,23,65,36,42,0,37,64,0,1,1,0,0
7f90d643-1ea2-47be-9070-880c7c3da0ea.v2ep.pt,7f90d643-1ea2-47be-9070-880c7c3da0ea,929446192,True,2596687,201,201,0,0,199,179,0.005527777777777777,256,3,90,13.392013549804688,15.225767135620117,11.360819816589355,0.0,266.50107421875003,48.41438891266636,87.86812970978794,0,0.0,0.16080401837825775,0.839195966720581,29,78,12,27,33,52,0,0,65,62,0,1,1,0,0
7f9298a1-06ba-4f64-b007-df55d525b9c4.v2ep.pt,7f9298a1-06ba-4f64-b007-df55d525b9c4,929446194,True,2439631,201,201,0,0,199,179,0.005527777777777777,256,3,90,20.796781539916992,24.855361938476562,17.369789123535156,0.0,413.85595703125,0.7729861687486831,15.01387594671191,0,0.0,0.0,1.0,99,0,0,38,42,99,0,0,38,42,0,1,0,0,0
7f93c901-ad98-4899-b4ec-730abeae2ee1.v2ep.pt,7f93c901-ad98-4899-b4ec-730abeae2ee1,929446195,True,4004815,201,201,0,0,199,179,0.005527777777777777,256,3,90,4.190249443054199,7.273545265197754,0.0,0.2512562870979309,83.3859619140625,49.07340654492421,65.82086646525539,1,0.2763819098472595,0.7236180901527405,0.0,119,33,0,22,5,84,70,0,20,5,1,1,1,0,0
7f957769-8f0d-418a-9d0f-7e708f12f3b9.v2ep.pt,7f957769-8f0d-418a-9d0f-7e708f12f3b9,929446197,True,2112335,201,201,0,0,199,179,0.005527777777777777,256,3,90,12.071784973144531,16.80758285522461,7.125068187713623,0.0,240.228515625,33.262993937205415,99.58235492884502,1,0.0,0.47236180305480957,0.5276381969451904,80,15,45,0,39,111,0,26,0,42,0,1,1,0,0
7fa41fce-1dcf-494a-822f-5f61f7bb6e65.v2ep.pt,7fa41fce-1dcf-494a-822f-5f61f7bb6e65,929456436,True,3124367,201,201,0,0,199,179,0.005527777777777777,256,3,90,4.410438537597656,13.108664512634277,0.0,0.42211055755615234,87.76772460937501,76.08795901429437,76.31138133223466,1,0.43216079473495483,0.4874371886253357,0.08040200918912888,66,0,50,63,0,66,0,46,67,0,1,0,1,0,0
7faca537-98c1-4809-b1c7-097822603f9f.v2ep.pt,7faca537-98c1-4809-b1c7-097822603f9f,929456483,True,2587791,201,201,0,0,199,179,0.005527777777777777,256,3,90,8.6915864944458,9.9688081741333,7.144269943237305,0.0,172.96257324218752,18.365026300708625,176.11839484325975,1,0.0,1.0,0.0,62,41,67,0,9,76,36,26,22,19,0,1,1,0,0
7fc185da-d340-4af5-a137-3bfff0f155b2.v2ep.pt,7fc185da-d340-4af5-a137-3bfff0f155b2,929456945,True,2651215,201,201,0,0,199,179,0.005527777777777777,256,3,90,5.1995930671691895,7.9439167976379395,2.379983901977539,0.0,103.4718994140625,81.6564005087415,89.76850690293892,1,0.0,1.0,0.0,68,53,0,20,38,65,55,0,21,38,0,1,1,0,0
7fd0cb3f-0014-45ce-a77f-20a24b537ba4.v2ep.pt,7fd0cb3f-0014-45ce-a77f-20a24b537ba4,929457200,True,1520591,201,201,0,0,199,179,0.005527777777777777,256,3,90,13.466487884521484,14.976001739501953,10.939863204956055,0.0,267.98310546875,63.69867204861907,67.42305125962197,1,0.0,0.08040200918912888,0.9195979833602905,107,0,36,35,1,110,0,10,36,23,0,1,1,0,0
7fe42308-f964-43d7-a825-c6dae8eb4ba9.v2ep.pt,7fe42308-f964-43d7-a825-c6dae8eb4ba9,929457460,True,2968783,201,201,0,0,199,179,0.005527777777777777,256,3,90,2.9260518550872803,6.300804615020752,0.39243799448013306,0.17085427045822144,58.228430175781256,64.59371369783588,70.47934234714924,1,0.4271356761455536,0.572864294052124,0.0,88,73,0,0,18,43,132,0,0,4,1,1,1,0,0
800a1526-1839-41f1-b086-520e8658c708.v2ep.pt,800a1526-1839-41f1-b086-520e8658c708,942682209,True,2785167,201,201,0,0,199,179,0.005527777777777777,256,3,90,12.210325241088867,15.330147743225098,8.650301933288574,0.0,242.9854736328125,44.49115557416772,77.65421018343751,1,0.0,0.3819095492362976,0.6180904507637024,78,0,48,19,34,78,0,33,27,41,0,1,1,0,0
800bf179-01e8-45f4-8759-d6803640ed2a.v2ep.pt,800bf179-01e8-45f4-8759-d6803640ed2a,942682210,True,2566095,201,201,0,0,199,179,0.005527777777777777,256,3,90,21.98760986328125,23.027843475341797,21.0765438079834,0.0,437.55341796875,104.92909531302271,104.92924557718445,0,0.0,0.0,1.0,8,164,0,0,7,159,0,0,0,20,0,1,1,0,0
801587f5-3db6-47e2-8ab8-81d67a7d3a42.v2ep.pt,801587f5-3db6-47e2-8ab8-81d67a7d3a42,942682421,True,2224463,201,201,0,0,199,179,0.005527777777777777,256,3,90,18.732271194458008,20.259828567504883,17.32608985900879,0.0,372.77219238281253,32.36945492960601,42.09710596818655,0,0.0,0.0,1.0,140,0,27,12,0,167,0,0,12,0,0,0,1,0,0
80247579-6256-4845-8ec9-5b328cabcc72.v2ep.pt,80247579-6256-4845-8ec9-5b328cabcc72,942682676,True,2988943,201,201,0,0,199,179,0.005527777777777777,256,3,90,17.18501853942871,18.237741470336914,15.946516990661621,0.0,341.98186035156255,47.83706034288186,91.35390309232561,0,0.0,0.0,1.0,91,66,13,9,0,162,0,0,17,0,0,0,1,0,0
8027c2b9-c39d-4a1f-abdd-b075f6345dee.v2ep.pt,8027c2b9-c39d-4a1f-abdd-b075f6345dee,942682679,True,3740367,201,201,0,0,199,179,0.005527777777777777,256,3,90,2.1785435676574707,4.704322338104248,0.0,0.1557788997888565,43.35301513671875,82.45290984899171,91.26060270826324,1,0.4170854389667511,0.5829145908355713,0.0,91,51,0,0,37,63,72,16,0,28,1,1,1,0,0
802b6014-a3ff-47d5-9587-4e32b50d144c.v2ep.pt,802b6014-a3ff-47d5-9587-4e32b50d144c,942682722,True,3581903,201,201,0,0,199,179,0.005527777777777777,256,3,90,13.469573020935059,14.408578872680664,12.467836380004883,0.0,268.0445068359375,9.511106721134455,85.26987110800172,1,0.0,0.0,1.0,125,37,17,0,0,179,0,0,0,0,0,0,1,0,0
