[s1] join   /home/nvidia/percprobe/raw/b1train_agents.jsonl.xz
[s1] md5    1c985e6d6ad34e605c4ebd30cb353558  (0.8 s)
[s1] spec   {'n_az': 20, 'n_rng': 24, 'r_max_m': 60.0, 'hfov_deg': 120.0, 'r_min_m': 0.0, 'sub_r': 2, 'sub_az': 3, 'shape': [24, 20], 'dr_m': 2.5, 'daz_deg': 6.0, 'n_cells': 480}
[s1] 137500 frames  84s  shadow 0.1872  pos_sup 0.03322
[s1] 138000 frames  84s  shadow 0.1868  pos_sup 0.03316
[s1] 138500 frames  84s  shadow 0.1874  pos_sup 0.03327
[s1] 139000 frames  85s  shadow 0.1880  pos_sup 0.03344
[s1] 139500 frames  85s  shadow 0.1880  pos_sup 0.03344
[s1] 140000 frames  85s  shadow 0.1884  pos_sup 0.03356
[s1] 140500 frames  86s  shadow 0.1884  pos_sup 0.03354
[s1] 141000 frames  86s  shadow 0.1879  pos_sup 0.03343
[s1] 141500 frames  86s  shadow 0.1879  pos_sup 0.03342
[s1] 142000 frames  87s  shadow 0.1882  pos_sup 0.03346
[s1] 142500 frames  87s  shadow 0.1888  pos_sup 0.03358
[s1] 143000 frames  87s  shadow 0.1887  pos_sup 0.03360
[s1] 143500 frames  88s  shadow 0.1890  pos_sup 0.03367
[s1] 144000 frames  88s  shadow 0.1888  pos_sup 0.03363
[s1] 144500 frames  88s  shadow 0.1886  pos_sup 0.03359
[s1] 145000 frames  88s  shadow 0.1880  pos_sup 0.03348
[s1] 145500 frames  89s  shadow 0.1878  pos_sup 0.03345
[s1] 146000 frames  89s  shadow 0.1880  pos_sup 0.03349
[s1] 146500 frames  90s  shadow 0.1881  pos_sup 0.03348
[s1] 147000 frames  90s  shadow 0.1877  pos_sup 0.03339
[s1] 147500 frames  91s  shadow 0.1875  pos_sup 0.03333
[s1] 148000 frames  91s  shadow 0.1875  pos_sup 0.03334
[s1] 148500 frames  91s  shadow 0.1876  pos_sup 0.03337
[s1] 149000 frames  91s  shadow 0.1875  pos_sup 0.03333
[s1] 149500 frames  91s  shadow 0.1873  pos_sup 0.03328
[s1] 150000 frames  91s  shadow 0.1867  pos_sup 0.03318
[s1] 150500 frames  92s  shadow 0.1866  pos_sup 0.03314
[s1] 151000 frames  92s  shadow 0.1865  pos_sup 0.03311
[s1] 151500 frames  92s  shadow 0.1860  pos_sup 0.03302
[s1] 152000 frames  92s  shadow 0.1861  pos_sup 0.03301
[s1] 152500 frames  93s  shadow 0.1860  pos_sup 0.03301
[s1] 153000 frames  93s  shadow 0.1858  pos_sup 0.03295
[s1] 153500 frames  93s  shadow 0.1852  pos_sup 0.03284
[s1] 154000 frames  93s  shadow 0.1847  pos_sup 0.03274
[s1] 154500 frames  93s  shadow 0.1848  pos_sup 0.03275
[s1] 155000 frames  94s  shadow 0.1853  pos_sup 0.03284
[s1] 155500 frames  94s  shadow 0.1853  pos_sup 0.03287
[s1] 156000 frames  95s  shadow 0.1854  pos_sup 0.03291
[s1] 156500 frames  95s  shadow 0.1861  pos_sup 0.03306
[s1] 157000 frames  95s  shadow 0.1859  pos_sup 0.03302
[s1] 157500 frames  95s  shadow 0.1856  pos_sup 0.03295
[s1] 158000 frames  96s  shadow 0.1858  pos_sup 0.03298
[s1] 158500 frames  96s  shadow 0.1858  pos_sup 0.03297
[s1] 159000 frames  96s  shadow 0.1855  pos_sup 0.03291
[s1] 159500 frames  96s  shadow 0.1855  pos_sup 0.03292
[s1] 160000 frames  97s  shadow 0.1854  pos_sup 0.03289
[s1] 160500 frames  97s  shadow 0.1856  pos_sup 0.03298
[s1] 161000 frames  97s  shadow 0.1856  pos_sup 0.03300
[s1] 161500 frames  98s  shadow 0.1857  pos_sup 0.03304
[s1] 162000 frames  98s  shadow 0.1862  pos_sup 0.03315
[s1] 162500 frames  99s  shadow 0.1860  pos_sup 0.03310
[s1] 163000 frames  99s  shadow 0.1858  pos_sup 0.03305
[s1] 163500 frames  99s  shadow 0.1859  pos_sup 0.03308
[s1] 164000 frames  99s  shadow 0.1857  pos_sup 0.03305
[s1] 164500 frames  100s  shadow 0.1861  pos_sup 0.03310
[s1] 165000 frames  100s  shadow 0.1859  pos_sup 0.03304
[s1] 165500 frames  100s  shadow 0.1858  pos_sup 0.03301
[s1] 166000 frames  101s  shadow 0.1859  pos_sup 0.03303
[s1] 166500 frames  101s  shadow 0.1858  pos_sup 0.03302
[s1] 167000 frames  101s  shadow 0.1856  pos_sup 0.03300
[s1] 167500 frames  101s  shadow 0.1853  pos_sup 0.03293
[s1] 168000 frames  102s  shadow 0.1851  pos_sup 0.03289
[s1] 168500 frames  102s  shadow 0.1854  pos_sup 0.03295
[s1] 169000 frames  102s  shadow 0.1856  pos_sup 0.03296
[s1] 169500 frames  103s  shadow 0.1858  pos_sup 0.03300
[s1] 170000 frames  103s  shadow 0.1857  pos_sup 0.03301
[s1] 170500 frames  103s  shadow 0.1856  pos_sup 0.03299
[s1] 171000 frames  104s  shadow 0.1854  pos_sup 0.03297
[s1] 171500 frames  104s  shadow 0.1855  pos_sup 0.03296
[s1] 172000 frames  104s  shadow 0.1856  pos_sup 0.03298
[s1] 172500 frames  105s  shadow 0.1860  pos_sup 0.03307
[s1] 173000 frames  105s  shadow 0.1859  pos_sup 0.03305
[s1] 173500 frames  105s  shadow 0.1856  pos_sup 0.03300
[s1] 174000 frames  106s  shadow 0.1854  pos_sup 0.03298
[s1] 174500 frames  106s  shadow 0.1850  pos_sup 0.03288
[s1] 175000 frames  106s  shadow 0.1849  pos_sup 0.03286
[s1] 175500 frames  106s  shadow 0.1856  pos_sup 0.03299
[s1] 176000 frames  107s  shadow 0.1856  pos_sup 0.03299
[s1] 176500 frames  107s  shadow 0.1854  pos_sup 0.03294
[s1] 177000 frames  107s  shadow 0.1849  pos_sup 0.03283
[s1] 177500 frames  107s  shadow 0.1849  pos_sup 0.03284
[s1] 178000 frames  107s  shadow 0.1848  pos_sup 0.03278
[s1] 178500 frames  108s  shadow 0.1853  pos_sup 0.03286
[s1] 179000 frames  108s  shadow 0.1849  pos_sup 0.03278
[s1] 179500 frames  108s  shadow 0.1847  pos_sup 0.03274
[s1] 180000 frames  108s  shadow 0.1846  pos_sup 0.03270
[s1] 180500 frames  109s  shadow 0.1846  pos_sup 0.03273
[s1] 181000 frames  109s  shadow 0.1844  pos_sup 0.03270
[s1] 181500 frames  109s  shadow 0.1843  pos_sup 0.03268
[s1] 182000 frames  109s  shadow 0.1843  pos_sup 0.03267
[s1] 182500 frames  110s  shadow 0.1843  pos_sup 0.03267
[s1] 183000 frames  110s  shadow 0.1843  pos_sup 0.03269
[s1] 183500 frames  110s  shadow 0.1841  pos_sup 0.03266
[s1] 184000 frames  111s  shadow 0.1840  pos_sup 0.03264
[s1] 184500 frames  111s  shadow 0.1837  pos_sup 0.03259
[s1] 185000 frames  111s  shadow 0.1840  pos_sup 0.03263
[s1] 185500 frames  111s  shadow 0.1837  pos_sup 0.03257
[s1] 186000 frames  111s  shadow 0.1837  pos_sup 0.03257
[s1] 186500 frames  112s  shadow 0.1837  pos_sup 0.03256
[s1] 187000 frames  112s  shadow 0.1834  pos_sup 0.03250
[s1] 187500 frames  112s  shadow 0.1833  pos_sup 0.03248
[s1] 188000 frames  112s  shadow 0.1830  pos_sup 0.03243
[s1] 188500 frames  112s  shadow 0.1829  pos_sup 0.03241
[s1] 189000 frames  113s  shadow 0.1830  pos_sup 0.03245
[s1] 189500 frames  113s  shadow 0.1827  pos_sup 0.03238
[s1] 190000 frames  113s  shadow 0.1824  pos_sup 0.03232
[s1] 190500 frames  113s  shadow 0.1821  pos_sup 0.03227
[s1] 191000 frames  113s  shadow 0.1819  pos_sup 0.03223
[s1] 191500 frames  114s  shadow 0.1820  pos_sup 0.03223
[s1] 192000 frames  114s  shadow 0.1818  pos_sup 0.03220
[s1] 192500 frames  114s  shadow 0.1816  pos_sup 0.03216
[s1] 193000 frames  114s  shadow 0.1815  pos_sup 0.03213
[s1] 193500 frames  114s  shadow 0.1814  pos_sup 0.03213
